CNTY_NM	HS_GRAD
Anderson 	96.9
Andrews 	94.7
Angelina 	93.7
Aransas 	93.4
Archer 	99.3
Armstrong 	96
Atascosa 	94.2
Austin 	93.8
Bailey 	96.8
Bandera 	89.8
Bastrop 	93.7
Baylor 	97.3
Bee 	91.3
Bell 	74.7
Bexar 	88.9
Blanco 	97.9
Borden 	100
Bosque 	98.6
Bowie 	94.6
Brazoria 	93.6
Brazos 	86.9
Brewster 	99
Briscoe 	100
Brooks 	90
Brown 	96.7
Burleson 	94.4
Burnet 	94.2
Caldwell 	91.2
Calhoun 	92.7
Callahan 	95.3
Cameron 	90.9
Camp 	100
Carson 	98.7
Cass 	97.6
Castro 	100
Chambers 	97.5
Cherokee 	90.7
Childress 	89.7
Clay 	95.5
Cochran 	95.7
Coke 	100
Coleman 	92
Collin 	96.6
Collingsworth 	97
Colorado 	75.7
Comal 	93.7
Comanche 	98.4
Concho 	100
Cooke 	95.4
Coryell 	93.9
Cottle 	100
Crane 	94
Crockett 	95.2
Crosby 	96.5
Culberson 	96.8
Dallam 	96.4
Dallas 	84.2
Dawson 	96.3
Deaf Smith 	82.6
Delta 	93.8
Denton 	94.6
Dewitt 	96.3
Dickens 	100
Dimmit 	90.1
Donley 	93.3
Duval 	89.8
Eastland 	95.8
Ector 	81.1
Edwards 	97.4
Ellis 	92.5
El Paso 	87.2
Erath 	59.9
Falls 	91.9
Fannin 	95.8
Fayette 	94.8
Fisher 	100
Floyd 	92.3
Foard 	100
Fort Bend 	94.1
Franklin 	96.1
Freestone 	97.9
Frio 	92.6
Gaines 	92.3
Galveston 	91.8
Garza 	83.7
Gillespie 	96.6
Glasscock 	100
Goliad 	98.8
Gonzales 	91.9
Gray 	94.3
Grayson 	93.3
Gregg 	94.6
Grimes 	95.7
Guadalupe 	94.5
Hale 	93.6
Hall 	92.9
Hamilton 	96.9
Hansford 	99
Hardeman 	89.8
Hardin 	92.6
Harris 	87.3
Harrison 	87.4
Hartley 	100
Haskell 	98.1
Hays 	90.5
Hemphill 	98.8
Henderson 	95
Hidalgo 	90.5
Hill 	96.3
Hockley 	91.7
Hood 	93.6
Hopkins 	92.4
Houston 	96.9
Howard 	89.9
Hudspeth 	93.9
Hunt 	92.5
Hutchinson 	96.9
Irion 	95.7
Jack 	97.3
Jackson 	96.9
Jasper 	93.1
Jeff Davis 	87.5
Jefferson 	87
Jim Hogg 	92.1
Jim Wells 	88.6
Johnson 	94.5
Jones 	97.9
Karnes 	95.8
Kaufman 	96.4
Kendall 	97.9
Kent 	100
Kerr 	95.4
Kimble 	98
King 	100
Kinney 	95.6
Kleberg 	89.2
Knox 	100
Lamar 	95.1
Lamb 	97.4
Lampasas 	97.4
La Salle 	87.5
Lavaca 	97.4
Lee 	98.3
Leon 	97.3
Liberty 	91.6
Limestone 	95.2
Lipscomb 	97.9
Live Oak 	92.4
Llano 	98.4
Lubbock 	92
Lynn 	97.5
Madison 	97.2
Marion 	100
Martin 	100
Mason 	98.2
Matagorda 	92.4
Maverick 	91.8
Mcculloch 	96
Mclennan 	88.9
Mcmullen 	100
Medina 	95.2
Menard 	100
Midland 	88.9
Milam 	94.2
Mills 	64.6
Mitchell 	97.2
Montague 	97.6
Montgomery 	92.8
Moore 	97.9
Morris 	95.8
Motley 	100
Nacogdoches 	93.2
Navarro 	95.3
Newton 	96.9
Nolan 	89
Nueces 	90.3
Ochiltree 	97.9
Oldham 	97.5
Orange 	92.6
Palo Pinto 	97.3
Panola 	95.3
Parker 	96
Parmer 	96.6
Pecos 	72.5
Polk 	94
Potter 	89.8
Presidio 	91.9
Rains 	86.7
Randall 	94.8
Reagan 	96
Real 	74.1
Red River 	98
Reeves 	92.6
Refugio 	86.1
Roberts 	92.9
Robertson 	97.9
Rockwall 	97
Runnels 	95
Rusk 	95.4
Sabine 	96
San Augustine 	93.2
San Jacinto 	90.1
San Patricio 	93.2
San Saba 	96.4
Schleicher 	94.6
Scurry 	92.4
Shackelford 	95.2
Shelby 	94.5
Sherman 	89.8
Smith 	92.6
Somervell 	81.6
Starr 	91.5
Stephens 	89
Sterling 	100
Stonewall 	100
Sutton 	98.1
Swisher 	94.8
Tarrant 	91.1
Taylor 	92.3
Terrell 	100
Terry 	95.7
Throckmorton 	100
Titus 	96.2
Tom Green 	89.9
Travis 	89.5
Trinity 	95.3
Tyler 	96.5
Upshur 	95.7
Upton 	96
Uvalde 	89.1
Val Verde 	81.9
Van Zandt 	92.8
Victoria 	89
Walker 	77.4
Waller 	94.8
Ward 	94.7
Washington 	93.5
Webb 	93.7
Wharton 	97.2
Wheeler 	95.5
Wichita 	96.2
Wilbarger 	83.6
Willacy 	90.4
Williamson 	95.4
Wilson 	95
Winkler 	93.1
Wise 	95.1
Wood 	97.1
Yoakum 	98.2
Young 	95.9
Zapata 	91.2
Zavala 	93.6
